iter	Passed	Remaining
1314	27155	5885
1315	27174	5864
1316	27197	5844
1317	27218	5823
1318	27239	5803
1319	27261	5782
1320	27283	5762
1321	27305	5741
1322	27325	5721
1323	27346	5700
1324	27367	5680
1325	27388	5659
1326	27409	5638
1327	27430	5618
1328	27451	5597
1329	27471	5576
1330	27492	5556
1331	27512	5535
1332	27534	5515
1333	27556	5494
1334	27577	5474
1335	27597	5453
1336	27619	5433
1337	27638	5411
1338	27658	5391
1339	27678	5370
1340	27698	5349
1341	27720	5329
1342	27741	5308
1343	27763	5288
1344	27783	5267
1345	27805	5247
1346	27826	5226
1347	27848	5206
1348	27869	5185
1349	27888	5164
1350	27910	5144
1351	27930	5123
1352	27950	5102
1353	27970	5081
1354	27991	5061
1355	28012	5040
1356	28032	5019
1357	28053	4999
1358	28072	4978
1359	28092	4957
1360	28112	4936
1361	28132	4915
1362	28151	4895
1363	28169	4873
1364	28189	4853
1365	28209	4832
1366	28230	4811
1367	28249	4790
1368	28272	4770
1369	28292	4749
1370	28312	4729
1371	28331	4708
1372	28351	4687
1373	28371	4666
1374	28392	4646
1375	28413	4625
1376	28433	4604
1377	28455	4584
1378	28477	4563
1379	28499	4543
1380	28521	4522
1381	28543	4502
1382	28562	4481
1383	28582	4460
1384	28600	4439
1385	28619	4418
1386	28639	4398
1387	28660	4377
1388	28679	4356
1389	28701	4336
1390	28720	4315
1391	28740	4294
1392	28759	4273
1393	28777	4252
1394	28800	4232
1395	28822	4211
1396	28843	4191
1397	28865	4170
1398	28885	4150
1399	28904	4129
1400	28924	4108
1401	28944	4087
1402	28963	4066
1403	28982	4045
1404	29003	4025
1405	29022	4004
1406	29042	3983
1407	29060	3962
1408	29079	3941
1409	29100	3921
1410	29120	3900
1411	29141	3880
1412	29163	3859
1413	29184	3839
1414	29203	3818
1415	29222	3797
1416	29242	3776
1417	29262	3755
1418	29281	3734
1419	29302	3714
1420	29319	3693
1421	29340	3672
1422	29361	3652
1423	29380	3631
1424	29403	3610
1425	29423	3590
1426	29444	3569
1427	29463	3548
1428	29482	3527
1429	29501	3507
1430	29519	3486
1431	29541	3465
1432	29559	3444
1433	29579	3424
1434	29600	3403
1435	29619	3382
1436	29640	3362
1437	29660	3341
1438	29679	3320
1439	29697	3299
1440	29716	3278
1441	29735	3258
1442	29756	3237
1443	29777	3216
1444	29797	3196
1445	29817	3175
1446	29838	3154
1447	29856	3134
1448	29876	3113
1449	29896	3092
1450	29916	3072
1451	29937	3051
1452	29957	3030
1453	29976	3010
1454	29995	2989
1455	30015	2968
1456	30033	2947
1457	30052	2926
1458	30070	2906
1459	30090	2885
1460	30113	2864
1461	30136	2844
1462	30159	2824
